subject,manual_t_cycle_idx,rt_interval_ms,t_detected_original,t_detected_detrended,error_original_ms,error_detrended_ms,error_diff_ms,in_window,cycle_std,baseline_drift,t_peak_orig,t_peak_detr
sel883,209,324.0,True,True,108.0,120.0,12.0,True,0.3869502892516411,-0.010000000000000009,236,239
sel883,211,340.0,True,True,92.0,96.0,4.0,True,0.429753149231482,-0.08,234,235
sel116,155,228.0,True,True,8.0,4.0,-4.0,True,0.5442649450011848,0.03499999999999992,157,156
sel116,158,236.0,True,True,4.0,4.0,0.0,True,0.534455860697566,-0.08999999999999997,159,159
sel116,153,232.0,True,True,8.0,8.0,0.0,True,0.5262009322042593,-0.29000000000000004,155,155
sel116,152,228.0,True,True,8.0,4.0,-4.0,True,0.5550442446989314,0.04999999999999982,154,153
sel116,152,216.0,True,True,148.0,20.0,-128.0,True,0.5150762772915982,-0.1100000000000001,189,157
sel116,155,232.0,True,True,108.0,4.0,-104.0,True,0.5567335901131648,0.014999999999999902,182,154
sel116,157,240.0,True,True,0.0,0.0,0.0,True,0.5929300519213574,0.17000000000000015,157,157
sel116,359,232.0,True,True,4.0,4.0,0.0,True,0.5651126006592185,0.29499999999999993,360,360
sel116,157,232.0,True,True,8.0,8.0,0.0,True,0.5622986148815634,-0.14,159,159
sel116,157,232.0,True,True,4.0,4.0,0.0,True,0.5389519289474262,-0.135,158,158
sel116,154,212.0,True,True,28.0,28.0,0.0,True,0.5536244883807876,0.19500000000000006,161,161
sel116,440,228.0,True,True,4.0,4.0,0.0,True,0.49921272458589044,1.1199999999999999,441,441
sel116,152,220.0,True,True,16.0,16.0,0.0,True,0.4469587926100382,0.050000000000000044,156,156
sel116,522,228.0,True,True,0.0,0.0,0.0,True,0.51333379588003,0.040000000000000036,522,522
sel116,153,236.0,True,True,4.0,4.0,0.0,True,0.45517885962640253,0.43500000000000005,154,154
sel116,153,236.0,True,True,104.0,4.0,-100.0,True,0.4577876845667804,-0.040000000000000036,179,152
sel116,337,228.0,True,True,0.0,0.0,0.0,True,0.49280659387515985,0.010000000000000009,337,337
sel116,436,232.0,True,True,0.0,0.0,0.0,True,0.5223156331382139,0.35,436,436
sel116,740,232.0,True,True,4.0,4.0,0.0,True,0.5963454911426063,-0.014999999999999902,741,741
sel116,150,216.0,True,True,20.0,20.0,0.0,True,0.5169422718958794,0.07999999999999985,155,155
sel116,156,240.0,True,True,136.0,8.0,-128.0,True,0.5269940635866361,0.21499999999999986,122,154
sel116,151,224.0,True,True,132.0,12.0,-120.0,True,0.5230285640468064,-0.135,184,154
sel213,107,156.0,True,True,108.0,104.0,-4.0,True,0.7336675234604134,-0.255,134,133
sel213,116,192.0,True,True,84.0,64.0,-20.0,True,0.5360580549415647,0.15,95,132
sel213,113,176.0,True,True,92.0,92.0,0.0,True,0.625858017430085,-0.035,136,136
sel213,120,196.0,True,True,52.0,52.0,0.0,True,0.5512403969711637,0.295,133,133
sel213,108,156.0,True,True,112.0,112.0,0.0,True,0.9859510909092786,-0.35000000000000003,136,136
sel213,117,200.0,True,True,92.0,52.0,-40.0,True,0.5620428304806676,0.325,94,130
sel213,114,192.0,True,True,64.0,64.0,0.0,True,0.5837546441947306,-0.05500000000000001,130,130
sel213,118,200.0,True,True,92.0,56.0,-36.0,True,0.5537528936691639,0.19,95,132
sel213,118,204.0,True,True,48.0,48.0,0.0,True,0.5780349855115903,0.25,130,130
sel213,117,184.0,True,True,72.0,72.0,0.0,True,0.5330451951973598,-0.18500000000000005,135,135
sel213,115,188.0,True,True,72.0,68.0,-4.0,True,0.555998723424638,0.08499999999999999,97,132
sel213,119,196.0,True,True,84.0,64.0,-20.0,True,0.5725801020069469,0.09500000000000003,98,135
sel213,112,180.0,True,True,56.0,68.0,12.0,True,0.5304886440225139,0.25500000000000006,126,129
sel213,123,208.0,True,True,52.0,52.0,0.0,True,0.5611878963757885,-0.235,136,136
sel213,116,192.0,True,True,84.0,64.0,-20.0,True,0.5619223088419857,0.145,95,132
sel213,117,200.0,True,True,16.0,12.0,-4.0,True,0.5539120325140692,0.10999999999999999,121,120
sel213,107,152.0,True,True,116.0,116.0,0.0,True,0.9795567483729178,-0.3,136,136
sel213,141,280.0,True,True,4.0,4.0,0.0,True,0.5628805089604594,0.4,140,140
sel213,100,140.0,True,True,112.0,112.0,0.0,True,1.1227849126431881,-0.395,128,128
sel213,115,180.0,True,True,68.0,68.0,0.0,True,0.5124381134859712,-0.10500000000000004,132,132
sel213,110,180.0,True,True,60.0,68.0,8.0,True,0.563861424129459,0.135,95,127
sel213,198,232.0,True,True,16.0,16.0,0.0,True,0.5635206511164377,1.59,202,202
sel213,118,200.0,True,True,88.0,60.0,-28.0,True,0.5429222709967705,0.0050000000000000044,96,133
sel213,110,176.0,True,True,56.0,68.0,12.0,True,0.5534933926623197,0.165,96,127
sel213,106,160.0,True,True,96.0,96.0,0.0,True,0.8093809304217039,-0.04,130,130
sel213,97,124.0,True,True,128.0,132.0,4.0,True,1.1095274919767648,-0.4,129,130
sel213,115,184.0,True,True,72.0,72.0,0.0,True,0.7724757422189646,-0.03,133,133
sel213,114,168.0,True,True,44.0,104.0,60.0,True,0.7505781593561521,-0.27,103,140
sel213,117,188.0,True,True,84.0,84.0,0.0,True,0.7000002040816029,-0.10500000000000004,138,138
sel213,110,164.0,True,True,104.0,104.0,0.0,True,0.9764582324614048,-0.08499999999999999,136,136
sel213,106,148.0,True,True,120.0,120.0,0.0,True,1.02619156819552,-0.54,136,136
sel213,117,192.0,True,True,76.0,76.0,0.0,True,0.7074642737589245,-0.08499999999999996,136,136
sel213,114,192.0,True,True,60.0,64.0,4.0,True,0.6442289400278611,0.09,129,130
sel213,117,184.0,True,True,72.0,76.0,4.0,True,0.6095278960802206,-0.24500000000000005,99,136
sel213,108,164.0,True,True,92.0,88.0,-4.0,True,0.633798906566782,0.14499999999999996,131,130
sel213,108,156.0,True,True,104.0,108.0,4.0,True,0.9467030531626401,-0.42500000000000004,134,135
sel213,108,164.0,True,True,88.0,88.0,0.0,True,0.888055568785066,-0.255,130,130
sel213,107,156.0,True,True,100.0,108.0,8.0,True,1.0625972248413245,-0.5449999999999999,132,134
sel213,112,172.0,True,True,96.0,96.0,0.0,True,1.0317154616175968,-0.565,136,136
sel213,113,188.0,True,True,68.0,68.0,0.0,True,0.7854084852808428,0.08499999999999999,130,130
sel213,110,164.0,True,True,96.0,100.0,4.0,True,0.7604320938694549,-0.19999999999999998,134,135
sel213,106,152.0,True,True,112.0,112.0,0.0,True,1.0095526969524056,-0.08,134,134
sel213,101,144.0,True,True,108.0,108.0,0.0,True,1.1189913231839408,-0.355,128,128
sel213,100,136.0,True,True,120.0,120.0,0.0,True,1.067694763234332,-0.21,130,130
sel213,106,156.0,True,True,100.0,100.0,0.0,True,0.7194727818064439,-0.145,131,131
sel213,105,148.0,True,True,116.0,116.0,0.0,True,1.1853923878900747,-0.61,134,134
sel213,103,144.0,True,True,116.0,116.0,0.0,True,1.1310418513097222,-0.54,132,132
sel213,108,156.0,True,True,24.0,104.0,80.0,True,0.9030626268498894,-0.26,102,134
sel213,103,152.0,True,True,100.0,100.0,0.0,True,0.988884868942623,-0.03,128,128
sel213,112,168.0,True,True,24.0,100.0,76.0,True,0.6966236356856681,-0.48500000000000004,106,137
sel213,116,192.0,True,True,72.0,72.0,0.0,True,0.7126169962523704,-0.10500000000000004,134,134
sel213,113,176.0,True,True,88.0,92.0,4.0,True,0.6624914279385036,-0.155,135,136
sel213,111,180.0,True,True,76.0,76.0,0.0,True,0.6153191141201134,-0.11499999999999999,130,130
sel213,109,156.0,True,True,112.0,112.0,0.0,True,0.8904993583056964,-0.18,137,137
sel213,105,152.0,True,True,108.0,108.0,0.0,True,1.1787929330528626,-0.54,132,132
sel213,111,168.0,True,True,48.0,84.0,36.0,True,0.692481149230423,-0.08499999999999999,99,132
sel213,101,124.0,True,True,0.0,4.0,4.0,True,1.0979789503948627,-0.42500000000000004,101,100
sel213,108,152.0,True,True,116.0,116.0,0.0,True,0.9181404864213987,-0.135,137,137
sel213,98,132.0,True,True,120.0,120.0,0.0,True,1.0648315976533316,-0.059999999999999984,128,128
sel213,103,144.0,True,True,116.0,116.0,0.0,True,1.0344288949868392,-0.29000000000000004,132,132
sel213,113,188.0,True,True,64.0,68.0,4.0,True,1.0143750252836432,-0.245,129,130
sel100,164,260.0,True,True,104.0,120.0,16.0,True,0.18429090160572653,0.0699999999999994,190,194
sel100,163,252.0,True,True,96.0,132.0,36.0,True,0.19308984307829347,-0.009999999999999787,187,196
sel100,157,236.0,True,True,92.0,120.0,28.0,True,0.17205452411073677,0.03500000000000014,180,187
sel100,164,252.0,True,True,92.0,92.0,0.0,True,0.18069213345749785,-0.019999999999999574,187,187
sel100,165,264.0,True,True,80.0,124.0,44.0,True,0.1874238834719431,0.034999999999999254,185,196
sel100,172,272.0,True,True,96.0,100.0,4.0,True,0.2034255684723138,0.004999999999999893,196,197
sel100,175,280.0,True,True,112.0,116.0,4.0,True,0.1856148024142564,-0.024999999999999467,203,204
sel100,173,272.0,True,True,76.0,76.0,0.0,True,0.17002157559498282,-0.005000000000000782,192,192
sel100,151,244.0,True,True,100.0,88.0,-12.0,True,0.2730365639942346,0.07000000000000028,176,173
